image_url,page,role,alt_text,title,notes
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09723.webp,Diamond package,Gallery,A professional video camera capturing an event, representing MyEventMCP's high-quality multi-camera production services in Malaysia.,,
https://myeventmcp.com/wp-content/uploads/2024/06/DSC09691-scaled.webp,Diamond package,Gallery,,"DSC09691",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC00189.webp,Diamond package,Gallery,,"DSC00189",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09594.webp,PTZ Robocam,Gallery,ptz-robocam-setup,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09604_V01.webp,PTZ Robocam,Gallery,ptz-robocam-setup,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09567.webp,PTZ Robocam,Gallery,ptz-robocam-setup,,
https://myeventmcp.com/wp-content/uploads/2024/06/DSC09581-scaled.webp,PTZ Robocam,Gallery,,"DSC09581",
https://myeventmcp.com/wp-content/uploads/2024/06/DSC09575-scaled.webp,PTZ Robocam,Gallery,,"DSC09575",
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09583.webp,PTZ Robocam,Gallery,ptz-robocam-setup,,
https://myeventmcp.com/wp-content/uploads/2024/05/DSC09596.webp,PTZ Robocam,Gallery,ptz-robocam-setup,,
https://myeventmcp.com/wp-content/uploads/2024/06/DSC09648-scaled.webp,PTZ Robocam,Gallery,,"DSC09648",
